X,Y,FID,F560,Location,Latitude,Longitude,Shelter,Bench
-8423543.45712914,5689861.18937117,125,8780,NORTH RIVER / MONTRÉAL,45.43245,-75.669979, , 
-8423487.24078165,5689790.75726768,126,8786,NORTH RIVER / SELKIRK,45.432006,-75.669474, ,Y
-8423482.78805226,5689676.38580139,127,7087,NORTH RIVER / AD. 333,45.431285,-75.669434,Y, 
-8423444.49412609,5689667.50255183,128,7088,NORTH RIVER / MCARTHUR,45.431229,-75.66909,Y, 
-8423377.59119741,5689388.48051912,129,8772,NORTH RIVER / WASHINGTON,45.42947,-75.668489, , 
-8423345.1972168,5689361.03873787,130,8768,NORTH RIVER / WASHINGTON,45.429297,-75.668198,Y, 
-8423273.39619613,5689148.96302973,131,7090,NORTH RIVER / ONTARIO,45.42796,-75.667553, , 
-8423294.88087665,5689139.28735324,132,7089,NORTH RIVER / ONTARIO,45.427899,-75.667746, , 
-8423206.38194125,5688884.23239358,133,1897,NORTH RIVER / COLUMBUS,45.426291,-75.666951, , 
-8423179.6652558,5688862.50225519,134,8581,NORTH RIVER / COLUMBUS,45.426154,-75.666711, , 
-8423060.33079313,5688567.32708333,135,7092,QUEEN MARY / NORTH RIVER,45.424293,-75.665639,Y, 
-8423027.82548489,5688547.02516217,136,7328,QUEEN MARY / NORTH RIVER,45.424165,-75.665347, , 
-8422899.58534254,5688562.72705501,137,7091,QUEEN MARY / MARION,45.424264,-75.664195, , 
-8422866.63474448,5688592.38676807,138,7093,QUEEN MARY / MARION,45.424451,-75.663899, , 
-8422651.67666097,5688608.72297181,139,8580,QUEEN MARY / VANIER,45.424554,-75.661968, , 
-8422623.40149553,5688591.27592193,140,8576,QUEEN MARY / VANIER,45.424444,-75.661714, , 
-8422468.11069929,5688605.39174135,141,7097,QUEEN MARY / VERA,45.424533,-75.660319, , 
-8422420.91119696,5688634.89295724,142,7094,QUEEN MARY / VERA,45.424719,-75.659895, ,Y
-8422122.01816558,5688633.78197852,143,9880,QUEEN MARY / QUILL,45.424712,-75.65721, , 
-8422122.3521154,5688672.16557216,144,9881,QUEEN MARY / QUILL,45.424954,-75.657213, , 
-8421628.20456481,5688681.046577,145,9882,QUEEN MARY / LOLA,45.42501,-75.652774, , 
-8421635.99691391,5688724.9817653,146,9883,QUEEN MARY / LOLA,45.425287,-75.652844, , 
-8420405.02485371,5688799.05057932,147,9884,QUEEN MARY / BERNARD,45.425754,-75.641786, , 
-8422153.18763622,5688666.2970688,148,7095,QUILL / QUEEN MARY,45.424917,-75.65749, , 
-8422137.04628212,5688710.39074354,149,7098,QUILL / QUEEN MARY,45.425195,-75.657345, ,Y
-8422170.55342384,5688812.06095641,150,7096,QUILL / GLYNN,45.425836,-75.657646, , 
-8422167.54773382,5688944.82072415,151,7099,QUILL / COLUMBUS,45.426673,-75.657619, , 
-8422141.61020562,5689094.39586162,152,8577,DONALD / QUILL,45.427616,-75.657386,Y,Y
-8422117.11988955,5689119.77466425,153,8579,DONALD / QUILL,45.427776,-75.657166,Y, 
-8421923.64648745,5689116.28460769,154,7100,DONALD / EDITH,45.427754,-75.655428,Y, 
-8421867.8753704,5689148.64261453,155,7103,DONALD / EVE,45.427958,-75.654927, , 
-8420977.76402192,5689239.05363913,156,3578,DONALD / TELFORD,45.428528,-75.646931, , 
-8421633.54770749,5689103.27724949,157,7404,LOLA / DONALD,45.427672,-75.652822, , 
-8421612.17434646,5689113.11150854,158,1517,LOLA / DONALD,45.427734,-75.65263, , 
-8421598.81616279,5688760.35202462,159,7267,LOLA / KING GEORGE,45.42551,-75.65251, , 
-8421574.54850673,5688740.84274465,160,7114,LOLA / QUEEN MARY,45.425387,-75.652292, , 
-8421512.7662376,5688415.53645528,161,7113,LOLA / PRESLAND,45.423336,-75.651737,Y, 
-8421494.17586837,5688423.78391045,162,7115,LOLA / PRESLAND,45.423388,-75.65157, , 
-8421426.82758262,5688203.32436367,163,8589,LOLA / COVENTRY,45.421998,-75.650965,Y, 
-8421396.99393932,5688203.00708907,164,7116,LOLA / COVENTRY,45.421996,-75.650697, , 
-8421084.96514145,5688113.55531429,165,7118,360 COVENTRY,45.421432,-75.647894, , 
-8421127.48922588,5688128.78106008,166,7117,COVENTRY / BELFAST,45.421528,-75.648276, , 
-8420457.01120943,5688361.44957686,167,1977,COVENTRY / ST-LAURENT MALL,45.422995,-75.642253, , 
-8420480.38832614,5688360.18079461,168,1978,COVENTRY / ST-LAURENT MALL,45.422987,-75.642463, , 
