OSM_TYPE,OSM_ID,NAME,CATEGORY,CUISINE,BRAND,LATITUDE,LONGITUDE
node,683601327,Atkinson's,bar,,,45.6005368,-76.4950753
node,5868668226,Atomic Rooster,bar,,,45.4149883,-75.6958605
node,1933971088,Au 4 Jeudi,bar,,,45.4269187,-75.7161191
node,4518525321,Avant-Garde Bar,bar,,,45.4266853,-75.6889598
way,671288447,Bar 77,bar,,,45.490949,-75.6521411
node,6292445646,Bar 866,bar,,,45.4859279,-75.6051271
node,3690785600,Bar Dumas,bar,,,45.4374744,-75.735798
way,68609320,Bar La Brass,bar,,,45.3945502,-75.8343098
way,315676127,Bar le Où... Quoi! Lounge urbain,bar,,,45.4270365,-75.7161048
node,6465280496,Billard Club Latino,bar,,,45.4327193,-75.7333758
node,3690122099,Bistro Bar l'Original,bar,,,45.4283748,-75.7199512
node,3690435697,Brasserie De L'ile,bar,,,45.4307972,-75.7204801
node,4460675647,Brigid's Well,bar,,,45.4314349,-75.6904846
node,5667588807,Cafe Dekcuf,bar,,,45.4279215,-75.6881164
node,9129321468,Calabogie Tap Room,bar,,,45.3413273,-75.9026626
node,5857487910,Chasin Turkeys,bar,,,45.1380399,-76.1435319
way,452702781,Chateau Lafayette,bar,,,45.4277694,-75.6932153
node,4463713772,Chez Lucien,bar,,,45.430495,-75.6920563
node,4592798716,Copper Spirits and Sights,bar,,,45.4286382,-75.6906675
node,588145962,Dominion Tavern,bar,,,45.4279894,-75.693853
node,4630563690,DreamZ KTV & Bar,bar,,,45.4199645,-75.6998013
way,485160856,Father and Sons,bar,,,45.4236585,-75.681173
way,473653682,Flixx Billard,bar,,,45.3953755,-75.845701
way,702871936,GAB's Sports Bar,bar,,,45.5538906,-75.2798327
way,183036327,Gainsbourg Bistro-Brasserie,bar,,,45.426783,-75.7157153
node,7102203036,Gold Bar Lounge,bar,,,45.4301195,-75.6920191
way,233662992,Hawaiian Beach Bar,bar,,,45.3152641,-75.2187227
node,5834617618,Hometown Sports Grill,bar,,,45.3811664,-75.6682867
way,161918337,Hótel Deschênes,bar,,,45.3837507,-75.8051886
node,6489083135,House of TARG,bar,,,45.3945433,-75.683411
way,578678059,J N Sports Bar,bar,,,45.4179864,-75.6080129
way,167219010,Killarney's,bar,,,45.6042883,-76.4920371
node,11110232329,Krusch,bar,,,45.4272472,-75.6926103
way,182249117,La Cage aux Sports,bar,,,45.4779748,-75.698975
node,12402806433,La Cocktailerie,bar,,,45.5035594,-75.8106784
node,6666496761,La Loge,bar,,,45.4975545,-75.6446323
node,6718722416,La Terrasse du Festibière,bar,,,45.42307,-75.7171327
node,9832078584,Laugh Lounge Comedy Club,bar,,,45.4286442,-75.6923608
node,6281653429,Le Huit Bar-Billard,bar,,,45.4713732,-75.7018304
way,477140402,Le Pichet d'Or,bar,,,45.4880455,-75.745161
way,68851438,Le X Lounge,bar,,,45.4777646,-75.6998866
node,5941745348,LIVE! on Elgin,bar,,,45.4186773,-75.6913818
node,5108651131,Local Heroes,bar,grill,,45.3587503,-75.7392143
node,3923022098,Maple Leaf Lounge,bar,,,45.3216939,-75.6666267
node,7048032336,McCloskey Hotel,bar,,,45.101337,-75.2298953
node,6196786578,Minnesota's Billiards Pub,bar,,,45.2995207,-75.8851327
way,330554301,Minotaure,bar,,,45.4270877,-75.7156975
node,1740513568,Motel du Parc Bar,bar,,,45.4219722,-75.7435209
node,5836628248,Natural History,bar,,,45.4091842,-75.711896
way,668487236,Ocean Lounge,bar,,,45.4523467,-75.5899817
node,5849340769,Overflow Brewing,bar,,,45.3762077,-75.6701696
node,6916510518,Oz Dome Restaurant,bar,,,45.2729461,-75.958373
node,11112820188,Playback,bar,,,45.3690983,-75.6635594
node,4491333833,Poa Tiki Bar,bar,,,45.4300693,-75.691949
way,371782948,Pop-O-Bar,bar,burger;chicken;pasta;pizza;regional;sandwich,,45.4636582,-75.6994742
node,4777543704,Pour Boy - Somerset,bar,,,45.4138109,-75.7004402
node,6152753711,Q Bar,bar,,,45.4210116,-75.6990154
way,162778000,Quai St-Raymond,bar,,,45.4473792,-75.7390152
node,4026521465,Rabbit Hole,bar,,,45.4211838,-75.7009657
node,4762225697,Ralph's Sports Bar,bar,,,45.400912,-75.624251
way,167817027,RCAF Officers' Mess,bar,,,45.4180491,-75.697573
node,7732002230,Red Bird,bar,,,45.3925951,-75.6820332
node,3692147507,Room 104,bar,,,45.429233,-75.6923118
way,682010564,Royal Canadian Legion,bar,,,45.5198014,-76.2300136
way,428824548,Sans Façon,bar,,,45.4365703,-75.7333305
node,6281596973,Saphyr Bar Billard,bar,,,45.4691621,-75.7000977
node,3690907003,Soif,bar,,,45.4275698,-75.7245319
node,9770964951,Stolen Goods Cocktail Bar,bar,,,45.4225838,-75.6976821
node,4913992307,Strikers Billiards,bar,,,45.4929952,-75.4813769
node,6287316337,Super 8,bar,,,45.4843342,-75.6386831
node,12103276281,Switzer’s House of Beer,bar,,,45.4323319,-76.355623
node,6152770211,Swizzles Bar & Grill,bar,,,45.4199507,-75.7017157
way,573225417,Tailgators,bar,,,45.3444981,-75.7316235
node,3690771823,Taverne 57,bar,,,45.429136,-75.718203
node,3690604584,Taverne La Ronde,bar,,,45.491922,-75.657807
way,428087733,Taverne Montcalm,bar,,,45.4309697,-75.7321868
way,116045990,Taverne Whip,bar,,,45.4312382,-75.7126693
node,11635930865,Terminus,bar,,,45.4681903,-75.7402262
way,545573639,The Brass Monkey,bar,,,45.325359,-75.7798313
node,6651660237,The Buck & Bill,bar,,,45.1415945,-76.1563951
way,233576697,The Crazy Horse Stonegrill Steakhouse and Saloon,bar,,,45.308323,-75.9135685
node,2434150774,The Hyde Bar,bar,,,45.426644,-75.6935819
node,4497182202,The Lookout Bar,bar,,,45.4282316,-75.6938129
way,258271963,The Moonroom,bar,,,45.3990574,-75.7087956
way,587955609,The Neighbourhood Pub,bar,,,45.3418492,-75.7870186
node,1870697989,The Nuden,bar,,,45.4109137,-75.6288527
node,4796845722,The Orange Monkey Bar & Billiards,bar,,,45.408882,-75.7189224
way,424999899,The Point,bar,,,45.4989473,-76.077022
node,4456642679,The Rainbow Bistro,bar,,,45.4294617,-75.6937817
node,2133832582,Trio Lounge,bar,,,45.3928518,-75.7525451
node,4869690121,Tulip,bar,,,45.3220819,-75.6673858
node,7131405901,Vespa Wine Bar,bar,,,45.409154,-75.6782256
way,233662999,VIP,bar,,,45.3160679,-75.216221
node,5835524137,Ward 14,bar,,,45.4076081,-75.7135389
node,3462491036,,cafe,,,45.4203887,-75.6898738
node,7039632323,,cafe,coffee_shop,,45.3446362,-75.7626991
node,9844869117,3 Sisters,cafe,,,45.3898718,-75.6287308
way,470022490,692 Coffee & Bar,cafe,,,45.224882,-75.684097
