OSM_TYPE,OSM_ID,NAME,TYPE,CUISINE,LATITUDE,LONGITUDE
node,12062507376,Café des Tours,cafe,,45.4298015,-75.6965095
way,765771480,Café Dough Co.,cafe,coffee_shop,45.4329666,-75.7811985
way,275479192,Cafe El-Hara,cafe,,45.3714621,-75.664249
way,604084514,Café Hiraeth,cafe,,45.3427434,-75.668549
node,3690805390,Café In,cafe,,45.4534793,-75.7395151
way,353283939,Café la Brûlerie,cafe,,45.4277907,-75.73372
way,471898532,Cafe Latte Cino,cafe,,45.4591097,-75.4872785
node,5941722846,Cafe le Monde,cafe,,45.420347,-75.6998026
node,8830687717,Café Mulligan,cafe,,45.3954422,-75.8412271
node,1669178975,Café Omni,cafe,,45.4234375,-75.6854103
node,5799962624,Café Qui Pense,cafe,,45.408174,-75.6777004
node,6719002794,Café Quick Pick,cafe,,45.4270222,-75.7140926
way,161998606,Café Taché,cafe,pizza,45.420209,-75.7519497
node,6386327184,Cafe Va Santi,cafe,,45.4277072,-75.7149249
way,485230002,Cafe Van Houte,cafe,,45.2879782,-75.9049252
node,6719059062,Cafe Yummies,cafe,,45.4261203,-75.7132157
node,5862395150,Capital Fare Cafe,cafe,,45.4428246,-75.6433508
node,6200081788,Cappuccino Bar,cafe,,45.3295681,-75.7275186
way,258269889,Carmelito Cafe,cafe,cake;italian;tea,45.4018064,-75.7104314
node,3017785411,Casi Di Moni,cafe,,45.4282167,-75.6930408
node,4677473731,CC's Corner,cafe,,45.1932643,-75.8395357
node,4248375596,Chai Talks,cafe,,45.391006,-75.7234729
way,485140485,Chatime,cafe,bubble_tea,45.4685914,-75.4902565
way,576378468,Chatime,cafe,bubble_tea,45.3547086,-75.7340051
node,3872339560,Chatime,cafe,bubble_tea,45.384313,-75.6984018
node,9634708681,Chatime,cafe,bubble_tea,45.4344035,-75.7988195
node,10057082331,Chatime,cafe,bubble_tea,45.4110775,-75.7069584
node,3325662206,Cloud Forest Pokoloko,cafe,coffee_shop,45.3921356,-75.7540899
way,231975934,CoCo Fresh Tea & Juice,cafe,bubble_tea,45.3094747,-75.914344
way,599071842,CoCo Fresh Tea & Juice,cafe,bubble_tea,45.3518266,-75.7348945
node,4969122479,CoCo Fresh Tea & Juice,cafe,bubble_tea,45.3349876,-75.6908351
node,5756769157,CoCo Fresh Tea & Juice,cafe,bubble_tea,45.4154049,-75.6966008
node,13341771886,CoCo Fresh Tea & Juice,cafe,bubble_tea,45.425697,-75.681679
way,477534209,Cooookies With Us,cafe,,45.4212627,-75.6381959
node,11148168637,Cosenza,cafe,,45.4060512,-75.7130347
way,470334517,Country Perks Cafe,cafe,,45.4210925,-75.4271496
node,5859756865,Country Style,cafe,coffee_shop,45.3246838,-75.5968179
node,5887974213,Country Style,cafe,coffee_shop,45.2678145,-75.3028652
node,5929771872,Country Style,cafe,coffee_shop,45.4186559,-76.3771583
node,5959563772,Country Style,cafe,coffee_shop,45.3185895,-75.2442522
node,5962107026,Country Style,cafe,coffee_shop,45.4507186,-75.4830252
node,5993769418,Country Style,cafe,coffee_shop,45.4319054,-75.6484511
node,6154404885,Country Style,cafe,coffee_shop,45.4179438,-75.700211
node,6388479610,Country Style,cafe,coffee_shop,45.383073,-75.6015131
node,6403336959,Country Style,cafe,,45.331249,-75.3464122
node,6506591977,Country Style,cafe,coffee_shop,45.1456364,-75.6065395
node,6721913773,Country Style,cafe,coffee_shop,45.2905432,-75.2293029
node,5808944198,Cup of Jo's,cafe,,45.092365,-75.3552165
node,11029014705,DAO,cafe,,45.3526328,-75.7351302
node,7638346186,Decathlon,cafe,,45.4277024,-75.6374386
node,9813439462,Dessert First,cafe,,45.4128188,-75.70221
node,5836744303,Drip House,cafe,,45.4110281,-75.7064264
node,9250980417,Drip House,cafe,coffee_shop,45.4084346,-75.733457
node,5838632390,Drip House Cafe,cafe,juice;coffee_shop,45.4022546,-75.7308982
way,447587645,Dubai Cafe,cafe,,45.3948985,-75.6056624
node,5834483728,Dubai Cafe,cafe,,45.3766471,-75.6668916
node,5739418227,E T Cafe,cafe,,45.3881374,-75.6751474
node,7821552667,Easy Tea,cafe,bubble_tea,45.4106888,-75.7071295
way,314798810,Equator Coffee,cafe,coffee_shop,45.3917047,-75.7537558
way,566452284,Equator Coffee,cafe,coffee_shop,45.2698204,-75.7396348
node,1561733378,Equator Coffee,cafe,coffee_shop,45.2351569,-76.1812601
node,2331294972,Equator Coffee,cafe,,45.311364,-75.914583
node,5827897938,Equator Coffee,cafe,,45.4233962,-75.694402
node,11143748352,Equator Coffee,cafe,coffee_shop,45.3226113,-75.9259812
node,6427055894,Eve,cafe,,45.4765922,-75.6968378
node,6114641725,Ève Café,cafe,,45.4261132,-75.6906185
node,5888798317,Experience Café,cafe,,45.2720575,-75.2884678
node,7103367306,Farinella Snack Bar,cafe,,45.4022044,-75.7107306
node,2476976985,Figaro,cafe,coffee_shop,45.4257942,-75.6813629
way,629141133,Figaro Coffee House,cafe,,45.4103774,-75.6403373
node,6754681493,First Cup,cafe,,45.3480831,-75.7573816
node,4751129811,For God Shakes,cafe,milkshakes,45.4319044,-75.6939044
node,6651582041,Foundry Collective & Coffee Bar,cafe,coffee_shop,45.1392939,-76.1454885
