NAME,CATEGORY
SHARPLEY'S POPCORN / NATIONAL RENTALS,food_truck
SHEPHERDS OF GOOD HOPE,institutional
SILVER CITY FOOD MARKET,grocery
SIR GUY CARLETON VOCATIONAL,institutional
SIR ROBERT BORDEN HS,institutional
SIVUMMUT HEAD START,institutional
SIZZLING BUNS,fast_food
SKILLS TO GO,institutional
SKINS DERMA CARE,institutional
SMASH N GRAB,fast_food
SMOKIN' GARVIN'S,fast_food
SMOKIN' R&R'S,fast_food
SOLOSUYAH,restaurant
SOME GOOD FOOD,restaurant
SPICY G,fast_food
SPICY MONGOOSE,fast_food
SPLITSVILLE ENTERTAINMENT,bar
ST GEORGE'S CATHOLIC ELEMENT,institutional
ST JOHN THE EVANGELIST,institutional
ST LUKES TABLE,institutional
ST MATTHEWS HIGHSCHOOL,institutional
ST PIUS (D.H.),institutional
ST. PATRICK'S HOME OF OTTAWA,institutional
ST. PAUL'S (D.H.),institutional
ST.ANDREW'S PRESBYTERIAN CHU,institutional
STACKS AND SMILE,bakery
STAGECOACH FRY COMPANY,fast_food
STITTSVILLE FARMERS' MARKET,grocery
STITTSVILLE LEGION,institutional
STRATHMERE- THE RETREAT,catering
STRATHMERE-THE FARMHOUSE,catering
SUGAR SHACK MUSEOPARC VANIER,institutional
SUGARYBLISS,bakery
SUNRISE BITES,fast_food
SUNTECH GREENHOUSES,specialty_food
SUPER SMASH JUICE INC.,cafe
SUPPER WORKS,catering
SWEET 'N SAVORY,bakery
SWEET ESCAPE CANDY EMPORIUM,grocery
SWEET SOUK,bakery
SWEET TREATS,bakery
TAKEDON OTTAWA,fast_food
TAMIR DAY PROGRAM,institutional
TD HORSESHOE NORTH,sports_rec
TD NORTH UPPER,sports_rec
TD PLACE-NORTH MAIN,sports_rec
THAT'S WAFFLE LICIOUS,bakery
THE ALEMBIC STILLHOUSE,pub
THE BOATHOUSE MARINA,restaurant
THE CHILDRENS PLACE,institutional
THE EIGHT O NINE,restaurant
THE FRIENDLY NEST,institutional
THE FRY DEPARTMENT,fast_food
THE GARLIC PRESS,specialty_food
THE HUDSON OTTAWA,restaurant
THE LOVE OF CHOCOLATE,bakery
THE MANGO BOYZ,fast_food
THE MILLER SENIORS APARTMENT,institutional
THE OAKS,institutional
THE ORIGINAL SOUVLAKI,fast_food
THE OTTAWA CANCER FOUNDATION,institutional
THE OTTAWA ROTARY HOME,institutional
THE PAVILLION,institutional
THE PICKLE VIXENS,specialty_food
THE PLAYSPACE,institutional
THE POTATO FAMILY,fast_food
THE PUCK STOP - MEATINGS,sports_rec
THE PUTTING EDGE,sports_rec
THE REAL MCCOY,restaurant
THE ROCKING DOCK,restaurant
THE SARANGI - CUISINE OF INDIA,restaurant
THE SNACK FUSION,fast_food
THE SPOT KARTING,sports_rec
THE STRUDEL LADIES,bakery
THE VISTA ON SPARKS,restaurant
THE WESTWOOD I,institutional
THE WESTWOOD II,institutional
THE WRIGHT LOLLIPOP SHOP,bakery
THIRST CART,food_truck
THIRST RESPONDER,food_truck
THORNCLIFFE PLACE,institutional
TIME SAVER,grocery
TL CHOCOLATES,bakery
TOASTY AREPAS,fast_food
TORNADO POTATO,fast_food
TORSHI,fast_food
TORTA BOYZ,fast_food
TUNGASUUVINGAT INUIT,institutional
TWIN ELM RUGBY PARK,sports_rec
UPPER ROOM,institutional
URBAN JARS OTTAWA,specialty_food
VANIER 2,institutional
VENVI HERITAGE,institutional
VENVI LYNWOOD PARK,institutional
VESSEL CANADA ON OPERATIONS ULC,specialty_food
VILLAGIA IN THE GLEBE,institutional
VINBELLA WINERY,specialty_food
VINCI LEADERSHIP TEAM,institutional
VISCOUNT ALEXANDER,institutional
W.E. GOWLING AVE,institutional
WAFFLE WAFFLES,bakery
WATERFORD GRAND,institutional
WAYPOINT RICHMOND,institutional
WEE FOLK PLAYHOUSE,institutional
WELLINGS OF STITTSVILLE,institutional
WEST CARLETON KIDS KORNER,institutional
WEST CARLETON LEGION,institutional
WHITEHAVEN KINDERGARDEN SCH.,institutional
WHOLEFOOD DELIGHTS,restaurant
WILLOW WELLNESS,institutional
WINEGARDEN BC INC.,specialty_food
WOLF'S GENERAL MERCANTILE,grocery
XCLUSIVE MEAL PLAN,catering
XMARKET RIDEAU,grocery
XRONOS FISH & CHIPS,fast_food
XTREME TRAMPOLINE PARK,sports_rec
YUGIROLLS,fast_food
1818 FARM AND CIDERY,pub
233 FLAVORS,ice_cream
A & M CONFECTIONERY,grocery
A2Z CORNER,grocery
ABORIGINAL EXPERIENCES ARTS AND CULTURE ( MADAHOKI FARM ),institutional
ABSTENTIONS,bar
AH-SO FINE FOOD,restaurant
AISLE 24,grocery
AL-KALAA MINI MARKET,grocery
ALEXANDER HOUSE,institutional
ALIMENTS RINAG FOODS INC.,specialty_food
ALMANAC,restaurant
AMBLESIDE TUCK SHOP,grocery
AMPED SPORTS LAB & ICE COMPLEX INC.,sports_rec
ANDERSON FARM,specialty_food
ANDREW FLECK,institutional
ANNE-MARIE'S STREET EATS,food_truck
ANNUNCIATION PARISH HALL,institutional
AQUATOPIA MITEL,hotel
ASHTON GENERAL STORE,grocery
ATRIA - THE COURT AT BARRHAVEN,institutional
AUX 4 VENTS,institutional
AUX 4 VENTS-BARRHAVEN,institutional
AUX 4 VENTS-BARRHAVEN SOUTH,institutional
BAIRD'S CHIPS,fast_food
BAKKER'S GENERAL STORE,grocery
BARRHAVEN FOOD CUPBOARD,institutional
BEER GRAINS SUPPLY,specialty_food
BENNY & CO (MC) KANATA,fast_food
BENTO NOUVEAU,fast_food
BENTO NOUVEAU COMPANY,fast_food
BERRIES ON WHEELS,food_truck
BEST THERATRONICS,institutional
BETTYE HYDE ELC A PROGRAM OF ANDREW FLECK CHILDRENS' SERVICES,institutional
BIG LEMON 2,ice_cream
BIG LEMON 3,ice_cream
BIG RIDEAU BBQ LTD,fast_food
BILLINGS ESTATE TEA-ON-THE-LAWN,cafe
BILLINGSWOOD MANOR,institutional
BISHOP HAMILTON,institutional
BLACK BELT MINI BEIGNETS,bakery
BLACKBURN HAMLET FUN FAIR,institutional
BLISS TEA DT,cafe
BLOOM CENTRES FOR EARLY LEARNING,institutional
BLUESFEST VIP SECTION,institutional
BOOM J'S CUISINE,restaurant
BOSBAN MART INC.,grocery
BOSS HOGS,fast_food
BREAKFAST AT NAVAN,restaurant
BRIERLEY'S YOUR INDEPENDANT GROCER,grocery
BRIN DE SOLEIL,institutional
BRITANNIA WOODS COMM. ASSOC.,institutional
BRONSON PLACE TUCK SHOP,grocery
BURGERS ON THE GO,fast_food
CABELA'S RETAIL CANADA INC.,grocery
CANADIAN BANK NOTE,institutional
CANADIAN BANK NOTE COMPANY,institutional
CANADIAN FRYER,fast_food
CANADIAN TIRE,grocery
CARLETON MEMORIAL DAY CARE,institutional
CARP AGRICULTURAL HALL,institutional
CARSON GROVE,institutional
CARTY HOUSE,institutional
CCI TRANSITIONAL HOUSING PROGRAM - ST JOSEPH,institutional
CHEO KNOWLEDE INSTITUTE,institutional
CHEZ LIONEL- BRASSERIE CHEZ LIONEL,restaurant
CHEZ-13,restaurant
CHIP N DOGS,fast_food
CHIPS & DAIRY FAST FOOD,fast_food
CHOCOLATS FAVORIS,bakery
CHOCOLATS FAVORIS BARRHAVEN,bakery
CLEMENTINE FOOD PANTRY,institutional
CLUB ALPHA,institutional
COMMISSIONAIRES OTTAWA PLACE,institutional
COMMUNICATIONS SECURITY ESTABLISHMENT OF CANADA - SALAD,institutional
COMPASS - ABBOTT POINT OF CARE,institutional
CONFEDERATION COURT FOOD BANK,institutional
CONFEDERATION COURT FOOD BANK (SATELLITE LOCATION),institutional
CONSTANCE BAY GENERAL STORE,grocery
COOL TREATS,ice_cream
COTE POULTRY,specialty_food
CREPE DADEY,bakery
CRERAR'S HONEY LTD.,specialty_food
CRISPY CHIPS,fast_food
CRUMBL ORLEANS,bakery
CULINARY CONSPIRACY,catering
DALHOUSIE FOOD CUPBOARD,institutional
DALHOUSIE PARENTS DAY CARE,institutional
DALMENY ACRES FARM STORE,specialty_food
DEBRA DYNES FAMILY HOUSE,institutional
DEFALCO'S WINE CELLARS,specialty_food
DESI PRICE CLUB,grocery
DIXIE DAIRY CONFECTIONERY,grocery
DOLLAR TREE,grocery
DOLLAR'S VARIETY MART,grocery
DOLLARAMA,grocery
DOWS LAKE DAY CARE,institutional
DR. E. COUTURE CHILD DEVEL,institutional
DRUMMOND GAS-MANOTICK,grocery
DRUMMOND'S GAS,grocery
DRUMMONDS FUELS(OTTAWA) LTD.,grocery
DUKE FINE FOODS,restaurant
EARLY BEGINNINGS MULT.CHILD,institutional
ECOLE CATHOLIQUE PIERRE-SAVARD,institutional
ECOLE ELEMENTAIRE PUBLIQUE MAURIL-BELANGER,institutional
ECOLE GABRIELLE ROY,institutional
ECOLE GISELLE LALONDE H.S.,institutional
ECOLE SECONDAIRE BEATRICE DELOGES,institutional
ECOLE SECONDAIRE CATHOLIQUE PAUL-DESMARAIS,institutional
ECOLE SECONDAIRE PUBLIQUE PIERRE-DE-BLOIS,institutional
ECOLE ST FRANCOIS D'ASSISE,institutional
EDGEWOOD LINKS,sports_rec
EMPATHY HOUSE,institutional
ETOILE FILANTES,institutional
EUREST DINING - R.C.M.P LEIKIN.,institutional
EUREST JOHN G DIEFENBAKER CAFFETERIA,institutional
EUREST NATURAL RESOURCES CANADA,institutional
EUROPEAN UNION CULTURAL FAIR,institutional
EXPLOSION PERSIAN STYLE,restaurant
EXTENDICARE CARLINGVIEW MANOR,institutional
EXTENDICARE CROSSING BRIDGE,institutional
EXTENDICARE LAURIER MANOR,institutional
EXTENDICARE MEDEX,institutional
EXTENDICARE STARWOOD,institutional
FAMOUS OZZY ON WHEELS 1,food_truck
FAMOUS OZZY ON WHEELS 2,food_truck
FAMSAC,institutional
FAST & FRIENDLY FOOD SERVICES,fast_food
FESTIVAL FOODS,institutional
FETTUCCINE'S,restaurant
FIRE BOX PIZZA OT,fast_food
FITZROY HARBOUR COMM. CTRE,institutional
FITZROY PROVINCIAL PARK FOOD SHOP,grocery
FOREST EXPLORERS OUTDOOR LEARNING,institutional
FOREST HILL,institutional
FOREST VALLEY TERRACE,institutional
FRESH GROCER,grocery
FRIENDS BINGO HALL,institutional
FROM AFRICA,restaurant
FROZEN DREAMS,ice_cream
FROZEN DREAMS/BEAN HERE,ice_cream
FRY YAY,fast_food
FUN DAYS,institutional
FUN HAVEN,institutional
GAGA TROPICAL,restaurant
GALETTA HALL,institutional
GARDEN TERRACE,institutional
GARDEN VIEW SENIORS APARTMENTS,institutional
GEES BEES HONEY,specialty_food
GIANT TIGER,grocery
GIGSPACE PERFORMANCE STUDIO,institutional
GLOUCESTER EMERGENCY FOOD,institutional
GLOUCESTER FINE FOODS,restaurant
GOLDEN POTATO,fast_food
GONZALEZ BBQ,fast_food
GRAMPA DAN'S FRESH CUTS,specialty_food
GRANDIR ENSEMBLE,institutional
GRANDIR ENSEMBLE -  ECOLE ELEMENTAIRE CATHOLIQUE SAINT-JEAN-PAUL II,institutional
GRANDIR ENSEMBLE - ECOLE ELEMENTAIRE CATHOLIQUE PIERRE-ELLIOTT-TRUDEAU,institutional
GRANDIR ENSEMBLE - ECOLE JEAN-ROBERT-GAUTHIER,institutional
GRANDIR ENSEMBLE - ECOLE SAINTE-KATERI,institutional
GROCER DIRECT,grocery
HARD ROCK CASINO (HR OTTAWA LP),bar
HARMER HOUSE,institutional
HARVEST HOUSE MINISTRIES,institutional
HAWTHORNE MEADOWS NURSERY,institutional
HAZELDEAN GARDENS,institutional
HCO - MAY COURT HOSPICE,institutional
HERITAGE PARK FIELD HOUSE,institutional
HIGHLAND PARK CEMETERY,institutional
HOLY SPIRIT PARISH,institutional
HOPEWELL DAY CARE,institutional
I COOK PERSIAN CUISINE,restaurant
INTERVAL HOUSE,institutional
JERK  STOP,fast_food
JIM DURRELL REC.ELLWOOD HALL,institutional
JOHN HOWARD SOCIETY - KIRKPATRICK HOUSE,institutional
JUDE'S PIZZA METCALFE,fast_food
K,LET'S EAT,restaurant
KANATA FOOD CUPBOARD,institutional
KANATA SPORTS CLUB,sports_rec
KANVIDONUTS SUPPLY INC.,specialty_food
KANZENG GROUPE MARCHE TROPICAL,grocery
KING'S CONFECTIONERY,grocery
LA CREPE VOLANTE,food_truck
LE CERF-VOLANT- ECOLE TERRE DES JEUNES,institutional
LEPAGE MANOR,institutional
LEVANTE-HUNT CLUB MANOR,restaurant
LIONS CLUB,institutional
LONG ISLAND AQUATIC CLUB,sports_rec
LUSITANIA PORTUGESE CLUB,institutional
M.H TUCK SHOP,grocery
MAISON DECISION HOUSE,institutional
MAPLE HALL,institutional
MAPLE LEAF ALMRAUSCH CLUB,institutional
MEALS ON WHEELS,institutional
MERIVALE PIZZA,fast_food
MIDORI  MARKET SARSFIELD,grocery
MIFO ECOLE DES PINS,institutional
MIFO ECOLE DES PIONNIERS,institutional
MIFO ECOLE DES VOYAGEURS,institutional
MIFO ECOLE L'ETOILE DE L'EST,institutional
MIFO ECOLE SAINTE MARIE,institutional
MIFO ECOLE ST-JOSEPH D'ORLEANS,institutional
MIFO LODYSS,institutional
MILE HIGH CLUB,bar
MILLERS FARM & MARKET,specialty_food
MIN-A-MART,grocery
MINI CONFECTIONERY,grocery
MISS ELLIE'S LEMONADE,ice_cream
MR SUNDAE,ice_cream
MR SUNDAE 3,ice_cream
NEW ORLEANS PIZZA,fast_food
NUMBER 1 SUB,fast_food
O'CONNOR CONFECTIONERY,grocery
ORLEANS  WINERY,specialty_food
OSCA BREAKFAST CLUB,institutional
OTTAWA FOOD BANK,institutional
OTTAWA NEW EDINBURGH CLUB INC.,institutional
OTTAWA VALLEY HUNT CLUB,institutional
OUR LADY OF THE VISITATION PARISH HALL,institutional
OVERBROOK BINGO PALACE,institutional
PADEL & FRIENDS,sports_rec
PAPA JOE'S PIZZA,fast_food
PARKWAY HOUSE,institutional
PINECREST QUEENSWAY NURSERY,institutional
PIZZA & SMASH BURGER,fast_food
PROULX FARM,specialty_food
PROXI NEPEAN GAS STATION,grocery
RCMP,institutional
RED DRAGON COMICS,CARDS AND GAMES,bar
RENE'S CORNER,grocery
RIGGINS FAMILY BBQ,fast_food
RIVER HOUSE,restaurant
RIVERSIDE PK 1/2 DAY NURSERY,institutional
ROGER NELSON HOUSE FOR PALLIATIVE CARE,institutional
ROMA CONFECTIONERY,grocery
ROTHWELL HEIGHTS TERRACE,institutional
ROYI STREET CART,food_truck
SAAB GAS,grocery
SACHI'S HUNT CLUB,institutional
SAFI FINE FOOD,restaurant
SALVATION ARMY GRACE MANOR,institutional
SANDY'S ISLAND BBQ INC.,fast_food
SCRATCH SANDWICH SHOP,fast_food
SEAWAY GAS,grocery
SHOPPER'S DRUG MART,grocery
SILVER HAWK TUCK SHOP,grocery
SKATE & PLAY,sports_rec
SMASH N WRAP,fast_food
SMOKIN' GARVIN;S,fast_food
SNELL HOUSE FOODS,specialty_food
SOBRIETY HOUSE,institutional
SOPHIA HOUSE,institutional
ST. MONICA PARISH,institutional
STONECREST ACRES,specialty_food
STRATHMERE-GARDEN HOUSE,catering
SUMMER SOLSTICE INDIGENOUS FESTIVAL,institutional
SYSCO,catering
SYSCO/TANNIS CASH & CARRY,catering
TAGGART FAMILY - DAY CARE,institutional
TASTE OF AFRICA,restaurant
TENANTS ASSOCIATION BREAKFAST,institutional
TERRY'S OLD FASHIONED LEMONADE INC.- UNIT 1,ice_cream
THE CIDER HOUSE,pub
THE FORGE PICKLEBALL CLUB,sports_rec
THE GUEST HOUSE,institutional
THE PAVILION FOOD BANK,institutional
THE SARANGI,CUISINE OF INDIA,restaurant
THE URBAN ELEMENT CULINARY INC.,catering
TOM BROWN HALL,institutional
TOPPER'S PIZZA,fast_food
UNITARIAN HOUSE OF OTTAWA,institutional
VALLEY VIEW ANIMAL FARM,institutional
VENVI ALTA VISTA MANOR,institutional
VENVI PORTOBELLO MANOR,institutional
VENVI PRINCE OF WALES MANOR,institutional
VENVI VALLEY STREAM MANOR,institutional
VENVI WINDSOR PARK MANOR,institutional
VERNON VARIETY,grocery
VILLY BEE HONEY COMPANY,specialty_food
VINCI  LEADERSHIP TEAM,institutional
