COURT_TYPE,SPORT_TYPE,NAME,PARK_NAME,ADDRESS,LATITUDE,LONGITUDE,FIELD_SIZE,LIGHTS,ACCESSIBLE,WARD
"Basketball Court","basketball","Basketball Key","Brewer Park","100 Brewer Way, Ottawa","45.38819300863884","-75.68864336746603","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Forbes Park","669 Paul Avenue, Ottawa","45.43972735348195","-75.64295495509765","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Eugène Martineau Park ","710 Mikinak Road","45.45118657094333","-75.63105207456381","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Eugène Martineau Park ","710 Mikinak Road","45.45118590546993","-75.63132406916048","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","City Centre Park","1800 City Park Drive","45.42771357043416","-75.61840361749698","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Osgoode Community Centre","5660 Osgoode Main Street, Osgoode","45.14679973471905","-75.60172495963779","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Queenswood Ridge Park","346 Kennedy Lane East","45.477998472394376","-75.50380158950449","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Trend-Arlington Park","50 Bellman Drive, Nepean","45.328349370935655","-75.78217664924625","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Raoul Wallenberg Park","397 Viewmount Drive, Nepean","45.35076183714816","-75.71636705788184","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Springhurst Park","24 Brunswick Street, Ottawa","45.41273406637886","-75.67289136044997","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Cattail Creek Park","38 Chimo Drive, Kanata","45.310701807943154","-75.88968682571864","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Country Place Park","83 Amberwood Crescent, Nepean","45.32100309255084","-75.7080560757402","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Crossing Bridge Park","27 Hobin Street, Goulbourn","45.26301134851764","-75.93512064206075","Half / Demi","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Diamond Jubilee Park","2810 Findlay Creek Drive / 4008 Kelly Farm Drive, Gloucester","45.31483176395972","-75.60994085510663","Non standard (on ice rink)","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Windsor Park Gloucester","3560 Wyman Place, Gloucester","45.34558821761284","-75.65944494428928","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Canterbury Park","2185 Arch Street, Ottawa","45.38950255951175","-75.62982758100001","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Dutchie's Hole Park","154 Mann Avenue","45.42090049232135","-75.66931100900241","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Valin Park and South Fallingbrook Community Centre","998 Valin Street, Cumberland","45.47093768044629","-75.46254864837734","Half / Demi","unknown","yes/oui",""
"Basketball Court","basketball","Basketball Key","Valin Park and South Fallingbrook Community Centre","998 Valin Street, Cumberland","45.47088634793513","-75.46266379532878","Half / Demi","unknown","yes/oui",""
"Basketball Court","basketball","Basketball Court","Alexander Park","960 Silver Street, Ottawa","45.379854387984","-75.73133726739434","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Andy Shields Park","1448 Meadow Drive","45.2608924880176","-75.55646354527006","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Alvin Heights Park","352 London Terrace, Ottawa","45.451400128893475","-75.65081390678495","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Amberway Park","11 Denham Way, Goulbourn","45.27679929412873","-75.91917014868942","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Aladdin Park","3939 Albion Road","45.34099703494898","-75.63519652938221","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Bob Rainboth Park","2193 East Acres Road, Gloucester","45.44733399810367","-75.58882590404774","Key Court / Clé de basketball","unknown","yes/oui",""
"Basketball Court","basketball","Basketball Court","Centennial Park","5572 Doctor Leach Drive, Rideau","45.22251569524492","-75.68717830327252","Non standard (on ice rink)","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Arcadia Park","175 Calvington Avenue","45.30455670576791","-75.93498641129942","Key Court / Clé de basketball","unknown","yes/oui",""
"Basketball Court","basketball","Basketball Court","Baden Park","3900 Autumnwood Street, Gloucester","45.34038264324184","-75.64035583074002","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Birdland Park","3 Whippoorwill Drive, Gloucester","45.45203658392111","-75.61504515800947","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Chapman Mills Park","139 Windhurst Drive, Nepean","45.27887631855795","-75.71659787011262","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Champagne Park","1861 Markwell Crescent, Gloucester","45.454684657614486","-75.51572688569962","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Chapel Hill Park","1556 Forest Valley Drive, Gloucester","45.45066073926537","-75.53838559157425","Key Court / Clé de basketball","unknown","no/non",""
