way_id,name,ref,type,lat,lng
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5000419,-75.7141703
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4999598,-75.7142465
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4998736,-75.7143254
30074753,"Autoroute Guy-Lafleur","50",motorway,45.499785,-75.7144052
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4996991,-75.7144803
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4996133,-75.714553
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4995202,-75.7146303
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4994228,-75.7147098
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4993299,-75.7147841
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4992412,-75.7148535
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4991551,-75.7149183
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4990693,-75.7149806
30074753,"Autoroute Guy-Lafleur","50",motorway,45.498976,-75.7150469
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4988776,-75.7151154
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4987807,-75.715181
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4986852,-75.715244
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4985903,-75.7153051
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4984967,-75.715364
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4984055,-75.7154191
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4983155,-75.7154715
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4982226,-75.7155243
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4981278,-75.7155768
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4980341,-75.7156268
30074753,"Autoroute Guy-Lafleur","50",motorway,45.497941,-75.7156749
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4978462,-75.7157222
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4977501,-75.7157686
30074753,"Autoroute Guy-Lafleur","50",motorway,45.497653,-75.7158132
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4975539,-75.7158568
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4974492,-75.7159016
30074753,"Autoroute Guy-Lafleur","50",motorway,45.497343,-75.7159458
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4972469,-75.7159846
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4971599,-75.7160184
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4970792,-75.7160492
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4970006,-75.7160781
30074753,"Autoroute Guy-Lafleur","50",motorway,45.4969114,-75.7161093
30074753,"Autoroute Guy-Lafleur","50",motorway,45.496815,-75.7161416
