schoolName,boardName,schoolLevel,avgScore
"Viscount Alexander Public School","Ottawa-Carleton DSB","Elementary",66
"Divine Infant Catholic Elementary School","Ottawa CSB","Elementary",65
"Briargreen Public School","Ottawa-Carleton DSB","Elementary",65
"Emily Carr Middle School","Ottawa-Carleton DSB","Elementary",65
"Fielding Drive Public School","Ottawa-Carleton DSB","Elementary",65
"Osgoode Township High School","Ottawa-Carleton DSB","Secondary",65
"St Michael (Corkery) Elementary School","Ottawa CSB","Elementary",64
"John Young Elementary School","Ottawa-Carleton DSB","Elementary",64
"Stittsville Public School","Ottawa-Carleton DSB","Elementary",64
"École élémentaire catholique Sainte-Anne","CSDC du Centre-Est de l'Ontario","Elementary",63
"Our Lady of Wisdom Elementary School","Ottawa CSB","Elementary",63
"St Augustine Elementary School","Ottawa CSB","Elementary",63
"St Catherine Elementary School","Ottawa CSB","Elementary",63
"St. John Paul II Elementary School","Ottawa CSB","Elementary",63
"Henry Larsen Elementary School","Ottawa-Carleton DSB","Elementary",63
"Katimavik Elementary School","Ottawa-Carleton DSB","Elementary",63
"Robert Hopkins Public School","Ottawa-Carleton DSB","Elementary",63
"Trillium Elementary School","Ottawa-Carleton DSB","Elementary",63
"St Elizabeth Elementary School","Ottawa CSB","Elementary",62
"Le Phare Elementary School","Ottawa-Carleton DSB","Elementary",62
"Roberta Bondar Public School","Ottawa-Carleton DSB","Elementary",61
"Vimy Ridge Public School","Ottawa-Carleton DSB","Elementary",61
"Holy Family Elementary School","Ottawa CSB","Elementary",60
"Notre Dame High School","Ottawa CSB","Secondary",60
"Bell High School","Ottawa-Carleton DSB","Secondary",60
"Greely Elementary School","Ottawa-Carleton DSB","Elementary",60
"Henry Munro Middle School","Ottawa-Carleton DSB","Elementary",60
"Hillcrest High School","Ottawa-Carleton DSB","Secondary",60
"Jockvale Elementary School","Ottawa-Carleton DSB","Elementary",60
"Shingwàkons Public School","Ottawa-Carleton DSB","Elementary",60
"Woodroffe High School","Ottawa-Carleton DSB","Secondary",60
"York Street Public School","Ottawa-Carleton DSB","Elementary",60
"Dr F J McDonald Catholic Elementary School","Ottawa CSB","Elementary",59
"Lester B Pearson Catholic High School","Ottawa CSB","Secondary",59
"St Anthony Elementary School","Ottawa CSB","Elementary",59
"D. Roy Kennedy Public School","Ottawa-Carleton DSB","Elementary",59
"W.E. Gowling Public School","Ottawa-Carleton DSB","Elementary",59
"Avalon Public School","Ottawa-Carleton DSB","Elementary",58
"St Patrick's High School","Ottawa CSB","Secondary",57
"General Vanier Public School","Ottawa-Carleton DSB","Elementary",57
"Manor Park Public School","Ottawa-Carleton DSB","Elementary",57
"Bells Corners Public School","Ottawa-Carleton DSB","Elementary",56
"Centennial Public School","Ottawa-Carleton DSB","Elementary",55
"Dunning-Foubert Elementary School","Ottawa-Carleton DSB","Elementary",55
"Good Shepherd Elementary School","Ottawa CSB","Elementary",54
"Our Lady of Fatima Elementary School","Ottawa CSB","Elementary",54
"St Daniel Elementary School","Ottawa CSB","Elementary",52
"Sawmill Creek Elementary School","Ottawa-Carleton DSB","Elementary",52
"Prince of Peace Elementary School","Ottawa CSB","Elementary",50
"Brookfield High School","Ottawa-Carleton DSB","Secondary",50
"Cambridge Street Community Public School","Ottawa-Carleton DSB","Elementary",50
"St Luke (Ottawa) Elementary School","Ottawa CSB","Elementary",49
"Dunlop Public School","Ottawa-Carleton DSB","Elementary",49
"Queen Elizabeth Public School","Ottawa-Carleton DSB","Elementary",48
"St Brigid Elementary School","Ottawa CSB","Elementary",47
"Manordale Public School","Ottawa-Carleton DSB","Elementary",47
"Our Lady of Victory Elementary School","Ottawa CSB","Elementary",46
"Meadowlands Public School","Ottawa-Carleton DSB","Elementary",45
"Robert Bateman Public School","Ottawa-Carleton DSB","Elementary",45
"Our Lady of Mount Carmel Elementary School","Ottawa CSB","Elementary",43
"Bayshore Public School","Ottawa-Carleton DSB","Elementary",43
"Gloucester High School","Ottawa-Carleton DSB","Secondary",43
"Pinecrest Public School","Ottawa-Carleton DSB","Elementary",42
"Regina Street Alternative School","Ottawa-Carleton DSB","Elementary",42
"Riverview Alternative School","Ottawa-Carleton DSB","Elementary",42
"Ridgemont High School","Ottawa-Carleton DSB","Secondary",41
"Featherston Drive Public School","Ottawa-Carleton DSB","Elementary",40
"Charles H. Hulse Public School","Ottawa-Carleton DSB","Elementary",39
"St Michael Elementary School","Ottawa CSB","Elementary",37
"Metcalfe Public School","Ottawa-Carleton DSB","Elementary",36
"Sir Guy Carleton Secondary School","Ottawa-Carleton DSB","Secondary",35
"Convent Glen Elementary School","Ottawa-Carleton DSB","Elementary",33
"Carleton Heights Public School","Ottawa-Carleton DSB","Elementary",32
"Robert E.  Wilson Public School","Ottawa-Carleton DSB","Elementary",32
"Arch Street Public School","Ottawa-Carleton DSB","Elementary",31
"Queen Mary Street Public School","Ottawa-Carleton DSB","Elementary",30
"Blossom Park Public School","Ottawa-Carleton DSB","Elementary",29
"Hawthorne Public School","Ottawa-Carleton DSB","Elementary",26
"Carson Grove Elementary School","Ottawa-Carleton DSB","Elementary",19
"Ottawa Technical Secondary School","Ottawa-Carleton DSB","Secondary",17
"Adult High School","Ottawa-Carleton DSB","Secondary",10
